Id,Label,timeset,latitude,longitude,comuna
485,THERAPIA IV,,-33473563,70626895,SAN JOAQUIN
486,SAN ANDRES,,-33639899,70352269,SAN JOSE DE MAIPO
487,SALCOBRAND,,-33491357,70650793,SAN MIGUEL
488,SALCOBRAND,,-33506356,70655614,SAN MIGUEL
489,AHUMADA,,-33512247,70657293,SAN MIGUEL
490,AHUMADA,,-33499427,70653833,SAN MIGUEL
491,CARYVON,,-33495502,70652532,SAN MIGUEL
492,CRUZ VERDE,,-3348597,70650719,SAN MIGUEL
493,CRUZ VERDE,,-3350653,70655888,SAN MIGUEL
494,CRUZ VERDE,,-33504008,70655161,SAN MIGUEL
495,CRUZ VERDE,,-33495043,70652588,SAN MIGUEL
496,SAN JOSE,,-33491061,70657234,SAN MIGUEL
497,SALCOBRAND,,-33505736,70655635,SAN MIGUEL
498,CRUZ VERDE,,-33545141,70634109,SAN RAMON
499,MANRIQUEZ,,-33537941,70634720,SAN RAMON
500,DEL DR. SIMI,,-33533973,70634794,SAN RAMON
501,SALCOBRAND,,-3343727,70651269,SANTIAGO
502,SALCOBRAND,,-33438783,70654192,SANTIAGO
503,SALCOBRAND,,-33439508,70649606,SANTIAGO
504,SALCOBRAND,,-33437395,70635611,SANTIAGO
505,SALCOBRAND,,-3344298,70647425,SANTIAGO
506,SALCOBRAND,,-33441919,70650647,SANTIAGO
507,SALCOBRAND,,-33438652,70651106,SANTIAGO
508,SALCOBRAND,,-3343515,70651572,SANTIAGO
509,SALCOBRAND,,-3343517,70651481,SANTIAGO
510,SALCOBRAND,,-33450905,70646866,SANTIAGO
511,SALCOBRAND,,-33444692,70657432,SANTIAGO
512,SALCOBRAND,,-33453286,70661319,SANTIAGO
513,AHUMADA,,-33453223,70652669,SANTIAGO
514,AHUMADA,,-33436196,70651419,SANTIAGO
515,AHUMADA,,-33440397,70650848,SANTIAGO
516,CRUZ VERDE,,-33454199,70657393,SANTIAGO
517,CRUZ VERDE,,-33440305,70668658,SANTIAGO
518,CRUZ VERDE,,-33452283,70677926,SANTIAGO
519,CRUZ VERDE,,-334423637,706406479,SANTIAGO
520,CRUZ VERDE,,-33439627,7065095,SANTIAGO
521,CRUZ VERDE,,-33444562,70636873,SANTIAGO
522,CRUZ VERDE,,-33448138,70635397,SANTIAGO
523,CRUZ VERDE,,-33470108,70656666,SANTIAGO
524,CRUZ VERDE,,-33473182,70648356,SANTIAGO
525,CRUZ VERDE,,-33439123,70658111,SANTIAGO
526,CRUZ VERDE,,-33435005,70670935,SANTIAGO
527,CRUZ VERDE,,-33435902,70652175,SANTIAGO
528,CRUZ VERDE,,-33451659,70664505,SANTIAGO
529,DEL DR. SIMI,,-33436267,70652806,SANTIAGO
530,BELEN,,-33435148,70674663,SANTIAGO
531,DEL DR. SIMI,,-33472753,70642096,SANTIAGO
532,FARMAX,,-33473205,70646771,SANTIAGO
533,LA BOTICA  SALCOBRAND,,-33439907,70653656,SANTIAGO
534,NOBEL,,-3345845,70643207,SANTIAGO
535,MAVI,,-33472144,70648422,SANTIAGO
536,REDFARMA,,-33442523,70667848,SANTIAGO
537,REDFARMA,,-33433214,70669173,SANTIAGO
538,VALDIVIESO,,-33438506,70662218,SANTIAGO
539,VANIA,,-33436791,70645765,SANTIAGO
540,CRUZ VERDE,,-33441039,70664933,SANTIAGO
541,NUEVA BOGOTA,,-33467902,70633326,SANTIAGO
542,SALCOBRAND,,-33664012,70929075,TALAGANTE
543,SAN PATRICIO,,-33543478,70780365,MAIPU
544,AHUMADA,,-33662449,70925036,TALAGANTE
545,CRUZ VERDE,,-336598978503037,7091833522895880,TALAGANTE
546,AHUMADA,,-33656810,70912164,TALAGANTE
547,CRUZ VERDE,,-33663947,7092897,TALAGANTE
548,MI FARMACIA,,-33663996,7092897,TALAGANTE
549,FARMA-MARKET,,-33665333,70922989,TALAGANTE
550,BELEN,,-3308462,70929154,TIL-TIL
551,SALCOBRAND,,-33391689,70562933,VITACURA
552,SALCOBRAND,,-33398658,70597748,VITACURA
553,SALCOBRAND,,-33406117,70598491,VITACURA
554,SALCOBRAND,,-33400241,70592311,VITACURA
555,SALCOBRAND,,-33388536,70567643,VITACURA
556,SALCOBRAND,,-33385371,70555836,VITACURA
557,AHUMADA,,-33392332,70592531,VITACURA
558,AHUMADA,,-33386375,70568129,VITACURA
559,AHUMADA,,-33388543,70577656,VITACURA
560,AHUMADA,,-33397601,70582612,VITACURA
561,AHUMADA,,-33389958,70570359,VITACURA
562,CRUZ VERDE,,-3339235,70580762,VITACURA
563,CRUZ VERDE,,-33394506,70597154,VITACURA
564,CRUZ VERDE,,-33376663,7056727,VITACURA
565,CRUZ VERDE,,-33388865,70568275,VITACURA
566,CRUZ VERDE,,-33404437,70596735,VITACURA
567,CRUZ VERDE,,-33399489,70589736,VITACURA
568,CRUZ VERDE,,-33385089,70554664,VITACURA
569,CRUZ VERDE,,-33469665,70574566,PENALOLEN
570,AHUMADA,,-33509017,70656577,SAN MIGUEL
571,CRUZ VERDE,,-33449991,70631708,SANTIAGO
572,CRUZ VERDE,,-33286075,70675307,COLINA
573,SALCOBRAND,,-33367435,70730821,QUILICURA
574,AHUMADA,,-33568772,70554846,PUENTE ALTO
575,SALCOBRAND,,-33808089,70742343,PAINE
576,ESTRELLA,,-33479241,70621923,SAN JOAQUIN
577,YORUGUA,,-3351832,70581926,LA FLORIDA
578,AHUMADA,,-33388784,70545276,LAS CONDES
579,CRUZ VERDE,,-33423654,7061084,PROVIDENCIA
580,AHUMADA,,-33622261,707005997,SAN BERNARDO
581,JUMBO,,-33428755,70540598,LAS CONDES
582,AHUMADA,,-334835,70620789,SAN JOAQUIN
583,SALCOBRAND,,-33554753,70794807,MAIPU
584,CRUZ VERDE,,-33380121,70647222,RECOLETA
585,CRUZ VERDE,,-33361037,7054416,LO BARNECHEA
586,NETFARMA,,-33436402,70747107,PUDAHUEL
587,SALCOBRAND,,-33376878,70570704,VITACURA
588,SALCOBRAND,,-33453375,70569373,LA REINA
589,CRUZ VERDE,,-33637132,70707496,SAN BERNARDO
590,AHUMADA,,-33453393,70569373,LA REINA
591,CRUZ VERDE,,-33453321,70569395,LA REINA
592,AHUMADA,,-33431226,7057875,LAS CONDES
593,CRUZ VERDE,,-33380874,70571004,VITACURA
594,CRUZ VERDE,,-33566394,70556867,PUENTE ALTO
595,AHUMADA,,-3337686,70570189,VITACURA
596,SALCOBRAND,,-33442973,70647628,SANTIAGO
597,LATINOAMERICANA,,-33405239,70643166,RECOLETA
598,CRUZ VERDE,,-33398342,70586475,VITACURA
599,SALCOBRAND,,-33426481,70590895,PROVIDENCIA
600,AHUMADA,,-33585702,70628403,LA PINTANA
601,AHUMADA,,-33522238,70556499,LA FLORIDA
602,CRUZ VERDE,,-33450081,70602289,NUNOA
603,SALCOBRAND,,-33589241,70706917,SAN BERNARDO
604,AHUMADA,,-33515708,70715736,CERRILLOS
605,AHUMADA,,-33684943,71213897,MELIPILLA
606,CRUZ VERDE,,-33439517,70535706,LA REINA
607,DR SIMI,,-33443188,70648252,SANTIAGO
608,FARMAMARKET,,-33741059,70862267,ISLA DE MAIPO
609,LINCE,,-33441576,70627416,PROVIDENCIA
610,AHUMADA,,-33632683,70712988,SAN BERNARDO
611,CRUZ VERDE,,-33598196,70521768,PUENTE ALTO
612,CRUZ VERDE,,-33457976,70586044,NUNOA
613,SALCOBRAND,,-33360087,70729864,QUILICURA
614,SALCOBRAND,,-3342058,70607791,PROVIDENCIA
615,SALCOBRAND,,-33355588,70538644,LO BARNECHEA
616,AHUMADA,,-33464859,70598253,NUNOA
617,LATINOAMERICANA,,-33455497,70605109,NUNOA
618,CRUZ VERDE,,-33451746,70554911,LA REINA
619,AHUMADA,,-33359899,70516457,LO BARNECHEA
620,SALCOBRAND,,-3346204,70575038,NUNOA
621,SALCOBRAND,,-33309657,70660729,COLINA
622,CRUZ VERDE,,-33515816,70715478,CERRILLOS
623,AHUMADA,,-33285642,70680653,COLINA
624,SALCOBRAND,,-33503524,70757514,MAIPU
625,LOS ORIENTALES,,-33454448,70580033,NUNOA
626,AHUMADA,,-333456092869489,7067051897242200,HUECHURABA
627,CRUZ VERDE,,-334520328,7.06824122e+15,ESTACION CENTRAL
628,SALCOBRAND,,-334482699530571,705766886423279,NUNOA
629,CRUZ VERDE,,-334540843,7060615239999990,NUNOA
630,OMLU,,-3362745936475470,7076932980132740,CALERA DE TANGO
631,AHUMADA,,-33409287,70567331,LAS CONDES
632,SALCOBRAND,,-33615891,70684447,SAN BERNARDO
633,PRAT,,-33608804,70702816,SAN BERNARDO
634,AHUMADA,,-33312367,70656921,COLINA
635,CRUZ VERDE,,-33569344,70815406,PADRE HURTADO
636,MANRIQUEZ,,-33551099,70633926,SAN RAMON
637,SALCOBRAND,,-33444484,70636964,SANTIAGO
638,SALCOBRAND,,-33436560,70577532,NUNOA
639,CRUZ VERDE,,-33439546,70650358,SANTIAGO
640,CRUZ VERDE,,-33451281,70589247,NUNOA
641,SOLUFAR,,-333595941,706826858,HUECHURABA
642,SALCOBRAND,,-33519252,70600301,LA FLORIDA
643,CRUZ VERDE,,-33449721,70621659,NUNOA
644,CRUZ VERDE,,-33567875,70554729,PUENTE ALTO
645,MEDDICA,,-33438544,70662868,SANTIAGO
646,MEDDICA,,-33366749,707135657,QUILICURA
647,ESMERALDA,,-33179823772526500,7065703527672120,COLINA
648,CRUZ VERDE,,-3.34573202e+15,7.0714213e+15,LO PRADO
649,FARMAS,,-335052112,7.07891084e+15,MAIPU
650,CRUZ VERDE,,-334356042,7.05916376e+15,PROVIDENCIA
651,CRUZ VERDE,,-334221422,7060820239999990,PROVIDENCIA
652,MEDDICA,,-334438503,7.06576211e+15,SANTIAGO
653,FARMA TOTAL,,-334432872,7063352839999990,SANTIAGO
654,CRUZ VERDE,,-33560990,70826991,PADRE HURTADO
655,SEGAL,,-335727986,7066539,EL BOSQUE
656,DEL DR SIMI,,-33284940,70876251,LAMPA
657,AHUMADA,,-334185974,706635713,INDEPENDENCIA
658,FARMAHORRO,,-335580386,706235524,LA GRANJA
659,ECONOFARMA,,-3353295313115590,7077456793121330,MAIPU
660,SALCOBRAND,,-33490979,7065737609999990,SAN MIGUEL
661,LA BOTICA ITALIA,,-334468525,7062719529999990,PROVIDENCIA
662,AHUMADA,,-334760865,705431413,PENALOLEN
663,OMEGA,,-33563826509613300,7058495425714720,LA FLORIDA
664,CRUZ VERDE,,-334095335,7056735229999990,LAS CONDES
665,KNOP,,-33347631,7067041919999990,HUECHURABA
666,JUMBO EL LLANO J513,,-334867883,706508589,SAN MIGUEL
667,CRUZ VERDE,,-335188712,7.06008749e+15,LA FLORIDA
668,SALCOBRAND,,-334188645,705721916,LAS CONDES
669,FARMATOTAL,,-334311642,7.06162772e+15,PROVIDENCIA
670,JUMBO,,-334880184,7.05566759e+15,PENALOLEN
671,CRUZ VERDE,,-334390756,706157943,PROVIDENCIA
672,SALCOBRAND,,-3341556420881630,7053952902380370,LAS CONDES
673,CRUZ VERDE,,-336255747,7078146199999990,CALERA DE TANGO
674,SALCOBRAND,,-3344121699999990,7.07541512e+15,QUILICURA
675,IBIZA,,-335562226,7079314369999990,MAIPU
676,SAINT GERMAIN,,-334747329,7074887469999990,MAIPU
677,DEL CARMEN,,-335168493,7076353879999990,MAIPU
678,SALCOBRAND,,-33204695,70676266,COLINA
679,AHUMADA,,-33518401,70599124,LA FLORIDA
680,ISLEiEEA,,-33753996,70902434,ISLA DE MAIPO
681,DiEEAZ,,-33443623,70723448,LO PRADO
682,AHUMADA,,-33518400,70599123,LA FLORIDA
683,AHUMADA,,-33455672,7058563,NUNOA
684,AHUMADA,,-3344317,70649064,SANTIAGO
685,AHUMADA,,-33734141,70749025,BUIN
686,AHUMADA,,-33397305,70761807,RENCA
687,AHUMADA,,-33418056,70607297,PROVIDENCIA
688,FARMAMARKET,,-33601279,70860642,PENAFLOR
689,SOLUFAR,,-33491755,70714808,CERRILLOS
690,VALVIC,,-33565517,70799506,PADRE HURTADO
691,BELEN,,-33444749,70754041,PUDAHUEL
692,MEDICAL STORES,,-33448542,70842990,PUDAHUEL
693,SU SALUD,,-33452457,70663262,SANTIAGO
694,LEMBACH,,-33207506,70678188,COLINA
695,DEL DR. SIMI,,-33424567,70654489,INDEPENDENCIA
696,CRUZ VERDE,,-33415884,70539431,LAS CONDES
697,CRUZ VERDE,,-33364142,70679158,HUECHURABA
698,SALCOBRAND,,-33482241,70599307,MACUL
699,CRUZ VERDE,,-33669991,70940531,TALAGANTE
700,DEL DR. SIMI,,-33535352,70572471,LA FLORIDA
701,DEL CARMEN,,-33509706,70758947,MAIPU
702,CRUZ VERDE,,-33517344,70716387,CERRILLOS
703,FARMATOP,,-33563030,70796775,PADRE HURTADO
704,ECONOFARMA,,-33395043,70657935,CONCHALI
705,CRUZ VERDE,,-33374177,70718153,QUILICURA
706,HERRERA,,-33612546,70573888,PUENTE ALTO
707,JUMBO MAIPU,,-33479687,70752152,MAIPU
708,DEL DR. SIMI,,-33516661,70599949,LA FLORIDA
709,DEL DR. SIMI,,-33454507,70679502,ESTACION CENTRAL
710,CRUZ VERDE,,-33608667,70856258,PENAFLOR
711,CRUZ VERDE,,-33398752,70598584,VITACURA
712,DEL DR. SIMI,,-33437929,70636741,SANTIAGO
713,SALCOBRAND,,-33207196,70666266,COLINA
BUIN,,,,,
CALERA DE TANGO,,,,,
CERRILLOS,,,,,
CERRO NAVIA,,,,,
COLINA,,,,,
CONCHALI,,,,,
CURACAVI,,,,,
EL BOSQUE,,,,,
ESTACION CENTRAL,,,,,
HUECHURABA,,,,,
INDEPENDENCIA,,,,,
ISLA DE MAIPO,,,,,
LA CISTERNA,,,,,
LA FLORIDA,,,,,
LA GRANJA,,,,,
LA PINTANA,,,,,
LA REINA,,,,,
LO BARNECHEA,,,,,
LAMPA,,,,,
LAS CONDES,,,,,
LO ESPEJO,,,,,
LO PRADO,,,,,
MACUL,,,,,
MAIPU,,,,,
MELIPILLA,,,,,
NUNOA,,,,,
PADRE HURTADO,,,,,
PAINE,,,,,
PEDRO AGUIRRE CERDA,,,,,
PENAFLOR,,,,,
PENALOLEN,,,,,
PIRQUE,,,,,
PROVIDENCIA,,,,,
PUDAHUEL,,,,,
PUENTE ALTO,,,,,
QUILICURA,,,,,
QUINTA NORMAL,,,,,
RECOLETA,,,,,
RENCA,,,,,
SAN BERNARDO,,,,,
SAN JOAQUIN,,,,,
SAN JOSE DE MAIPO,,,,,
SAN MIGUEL,,,,,
SAN RAMON,,,,,
SANTIAGO,,,,,
TALAGANTE,,,,,
TIL-TIL,,,,,
VITACURA,,,,,
